Timer ray-tracing      on rank   0 :   4819 ms,    481 ms,    431 ms,    535 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank   1 :   4772 ms,    477 ms,    430 ms,    534 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank   2 :   4748 ms,    474 ms,    428 ms,    533 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank   3 :   4857 ms,    485 ms,    429 ms,    534 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank   4 :   4765 ms,    476 ms,    430 ms,    533 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank   5 :   4766 ms,    476 ms,    429 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank   6 :   4764 ms,    476 ms,    429 ms,    532 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank   7 :   4760 ms,    476 ms,    427 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank   8 :   4827 ms,    482 ms,    415 ms,    551 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank   9 :   4766 ms,    476 ms,    422 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  10 :   4784 ms,    478 ms,    424 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  11 :   4759 ms,    475 ms,    430 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  12 :   4793 ms,    479 ms,    430 ms,    532 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  13 :   4792 ms,    479 ms,    431 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  14 :   4739 ms,    473 ms,    431 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  15 :   4731 ms,    473 ms,    421 ms,    533 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  16 :   4744 ms,    474 ms,    432 ms,    532 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  17 :   4737 ms,    473 ms,    417 ms,    536 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  18 :   4738 ms,    473 ms,    429 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  19 :   4786 ms,    478 ms,    434 ms,    536 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  20 :   4763 ms,    476 ms,    431 ms,    534 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  21 :   4845 ms,    484 ms,    417 ms,    552 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  22 :   4845 ms,    484 ms,    429 ms,    534 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  23 :   4796 ms,    479 ms,    432 ms,    535 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  24 :   4699 ms,    469 ms,    423 ms,    535 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  25 :   4694 ms,    469 ms,    422 ms,    533 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  26 :   4746 ms,    474 ms,    430 ms,    539 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  27 :   4767 ms,    476 ms,    428 ms,    536 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  28 :   4755 ms,    475 ms,    430 ms,    537 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  29 :   4762 ms,    476 ms,    433 ms,    537 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  30 :   4697 ms,    469 ms,    412 ms,    534 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  31 :   4730 ms,    473 ms,    430 ms,    535 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  32 :   4722 ms,    472 ms,    422 ms,    533 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  33 :   4780 ms,    478 ms,    432 ms,    545 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  34 :   4761 ms,    476 ms,    434 ms,    534 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  35 :   4744 ms,    474 ms,    425 ms,    533 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  36 :   4819 ms,    481 ms,    433 ms,    536 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  37 :   4807 ms,    480 ms,    431 ms,    532 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  38 :   4799 ms,    479 ms,    432 ms,    534 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  39 :   4786 ms,    478 ms,    427 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  40 :   4784 ms,    478 ms,    426 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  41 :   4797 ms,    479 ms,    427 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  42 :   4794 ms,    479 ms,    426 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  43 :   4798 ms,    479 ms,    427 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  44 :   4794 ms,    479 ms,    426 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  45 :   4813 ms,    481 ms,    428 ms,    534 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  46 :   4806 ms,    480 ms,    428 ms,    535 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  47 :   4801 ms,    480 ms,    427 ms,    533 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  48 :   4786 ms,    478 ms,    427 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  49 :   4793 ms,    479 ms,    428 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  50 :   4793 ms,    479 ms,    428 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  51 :   4791 ms,    479 ms,    429 ms,    530 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  52 :   4791 ms,    479 ms,    428 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  53 :   4790 ms,    479 ms,    429 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  54 :   4779 ms,    477 ms,    423 ms,    539 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  55 :   4785 ms,    478 ms,    424 ms,    540 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  56 :   4796 ms,    479 ms,    427 ms,    536 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  57 :   4799 ms,    479 ms,    426 ms,    537 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  58 :   4778 ms,    477 ms,    426 ms,    533 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  59 :   4781 ms,    478 ms,    426 ms,    534 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  60 :   4785 ms,    478 ms,    425 ms,    540 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  61 :   4777 ms,    477 ms,    428 ms,    535 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  62 :   4769 ms,    476 ms,    429 ms,    531 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  63 :   5827 ms,    582 ms,    524 ms,    649 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  64 :   4778 ms,    477 ms,    425 ms,    535 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  65 :   4779 ms,    477 ms,    426 ms,    533 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  66 :   4791 ms,    479 ms,    426 ms,    536 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  67 :   4887 ms,    488 ms,    444 ms,    540 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  68 :   4795 ms,    479 ms,    429 ms,    541 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  69 :   4804 ms,    480 ms,    443 ms,    538 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  70 :   4710 ms,    471 ms,    430 ms,    540 ms,  10 (total, mean, min, max, timings)
Timer ray-tracing      on rank  71 :   5157 ms,    468 ms,    430 ms,    533 ms,  11 (total, mean, min, max, timings)
Timer map              on rank   0 :     51 ms,      2 ms,      2 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank   1 :     40 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank   2 :     39 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank   3 :     41 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank   4 :     41 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank   5 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank   6 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank   7 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank   8 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank   9 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  10 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  11 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  12 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  13 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  14 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  15 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  16 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  17 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  18 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  19 :     40 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  20 :     41 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  21 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  22 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  23 :     39 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  24 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  25 :     35 ms,      1 ms,      1 ms,      2 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  26 :     33 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  27 :     34 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  28 :     36 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  29 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  30 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  31 :     35 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  32 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  33 :     40 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  34 :     41 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  35 :     43 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  36 :     52 ms,      2 ms,      2 ms,      4 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  37 :     40 ms,      2 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  38 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  39 :     38 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
Timer map              on rank  40 :     37 ms,      1 ms,      1 ms,      3 ms,  20 (total, mean, min, max, timings)
