Timer ray-tracing      on rank   0 :  69020 ms,   1437 ms,    823 ms,   2352 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank   1 :  70517 ms,   1469 ms,    806 ms,   2287 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank   2 :  71112 ms,   1481 ms,    829 ms,   2209 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank   3 :  71473 ms,   1489 ms,    849 ms,   2124 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank   4 :  71624 ms,   1492 ms,    824 ms,   2017 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank   5 :  72285 ms,   1505 ms,    808 ms,   2105 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank   6 :  71608 ms,   1491 ms,    811 ms,   2118 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank   7 :  70641 ms,   1471 ms,    805 ms,   2092 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank   8 :  69405 ms,   1445 ms,    768 ms,   2035 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank   9 :  68179 ms,   1420 ms,    764 ms,   1997 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  10 :  66973 ms,   1395 ms,    819 ms,   1995 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  11 :  64884 ms,   1351 ms,    769 ms,   2050 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  12 :  63237 ms,   1317 ms,    827 ms,   2081 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  13 :  61812 ms,   1287 ms,    793 ms,   1997 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  14 :  61027 ms,   1271 ms,    826 ms,   1933 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  15 :  60127 ms,   1252 ms,    837 ms,   1896 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  16 :  59916 ms,   1248 ms,    831 ms,   2046 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  17 :  60201 ms,   1254 ms,    833 ms,   2057 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  18 :  61042 ms,   1271 ms,    847 ms,   2063 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  19 :  61647 ms,   1284 ms,    855 ms,   2032 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  20 :  63009 ms,   1312 ms,    819 ms,   1943 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  21 :  64231 ms,   1338 ms,    788 ms,   1964 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  22 :  65665 ms,   1368 ms,    844 ms,   1998 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  23 :  66914 ms,   1394 ms,    820 ms,   2092 ms,  48 (total, mean, min, max, timings)
Timer ray-tracing      on rank  24 :  68459 ms,   1426 ms,    790 ms,   2196 ms,  48 (total, mean, min, max, timings)
